optimizer,obj,trial,n_clusters,time_run,BHI,DBI,DI,SI,RSI,FMS,HS,CS,VMS,KS
GSKA,RTS,3,2,977095.05696,77.34392,1.1781,0.31914,0.25838,-0.31029,0.64173,0.15416,0.23946,0.18757,0.65293
GSKA,RTS,4,2,977354.20866,77.10509,1.18651,0.12264,0.2565,-0.31478,0.64035,0.15271,0.23328,0.18459,0.65101
GSKA,RTS,5,2,977615.1169,78.06589,1.18139,0.11894,0.25383,-0.31377,0.64592,0.17293,0.27471,0.21225,0.65787
GSKA,RTS,6,2,977875.85446,77.78607,1.18566,0.12715,0.25381,-0.31368,0.64312,0.15945,0.24951,0.19456,0.65457
GSKA,RTS,7,2,978136.94182,78.20244,1.17421,0.32003,0.25235,-0.3068,0.64593,0.17121,0.27338,0.21056,0.65805
GSKA,RTS,8,2,978396.48331,78.12581,1.17996,0.33469,0.25344,-0.31264,0.64592,0.17207,0.27405,0.2114,0.65796
GSKA,RTS,9,2,978657.84095,77.05485,1.18803,0.12218,0.25682,-0.31606,0.64036,0.15355,0.234,0.18542,0.65095
GSKA,RTS,10,2,978917.63097,77.78044,1.18494,0.12805,0.25371,-0.31209,0.64312,0.15945,0.24951,0.19456,0.65457
GSKA,ARS,1,2,979178.57232,77.14254,1.18421,0.12318,0.25622,-0.31235,0.64035,0.15188,0.23255,0.18375,0.65108
GSKA,ARS,2,2,979182.82375,77.09749,1.186,0.12268,0.25651,-0.31397,0.64035,0.15271,0.23328,0.18459,0.65101
GSKA,ARS,3,2,979187.07932,78.12581,1.17996,0.12059,0.25344,-0.31264,0.64592,0.17207,0.27405,0.2114,0.65796
GSKA,ARS,4,2,979191.32068,78.3469,1.1696,0.11862,0.25173,-0.3027,0.64666,0.1752,0.28194,0.21611,0.65902
GSKA,ARS,5,2,979195.57734,77.09749,1.186,0.32368,0.25651,-0.31397,0.64035,0.15271,0.23328,0.18459,0.65101
GSKA,ARS,6,2,979199.84627,77.88852,1.16377,0.33954,0.25746,-0.30223,0.64595,0.17035,0.27272,0.20971,0.65814
GSKA,ARS,7,2,979204.11147,77.09749,1.186,0.12268,0.25651,-0.31397,0.64035,0.15271,0.23328,0.18459,0.65101
